"","Request.id","Pickup.point","Driver.id","Status","Request.date","Request.time","Drop.date","Drop.time","Req_weekdays","Drop_weekdays","Req.hrs","drop.hrs","timeSlot","triptime","supply_demand"
"32",2102,"City","4","Trip Completed","2016-07-12","16:09:00","2016-07-12","17:01:00","Tue","Tue",17,"17","Evening",52,"Supply Airport"
"33",2847,"Airport","4","Trip Completed","2016-07-13","05:34:20","2016-07-13","06:09:59","Wed","Wed",6,"06","Morning",35.65,"Supply City"
"34",3722,"Airport","4","Trip Completed","2016-07-13","19:57:59","2016-07-13","20:32:04","Wed","Wed",20,"20","Late-evening",34.0833333333333,"Supply City"
"35",4075,"City","4","Trip Completed","2016-07-14","02:17:35","2016-07-14","03:21:38","Thu","Thu",3,"03","Early Morning",64.05,"Supply Airport"
"36",4686,"City","4","Trip Completed","2016-07-14","13:01:10","2016-07-14","13:45:28","Thu","Thu",14,"13","Afternoon",44.3,"Supply Airport"
"37",5771,"Airport","4","Trip Completed","2016-07-15","08:30:06","2016-07-15","09:37:20","Fri","Fri",9,"09","Morning",67.2333333333333,"Supply City"
"38",6106,"Airport","4","Trip Completed","2016-07-15","15:01:20","2016-07-15","15:47:31","Fri","Fri",16,"15","Evening",46.1833333333333,"Supply City"
"39",312,"City","5","Trip Completed","2016-07-11","07:27:00","2016-07-11","08:31:00","Mon","Mon",8,"08","Morning",64,"Supply Airport"
"40",577,"Airport","5","Trip Completed","2016-07-11","11:03:00","2016-07-11","12:01:00","Mon","Mon",12,"12","Afternoon",58,"Supply City"
"41",1179,"City","5","Trip Completed","2016-07-11","20:58:00","2016-07-11","21:45:00","Mon","Mon",21,"21","Late-evening",47,"Supply Airport"
"42",1756,"Airport","5","Trip Completed","2016-07-12","08:40:00","2016-07-12","09:23:00","Tue","Tue",9,"09","Morning",43,"Supply City"
"43",2052,"City","5","Trip Completed","2016-07-12","14:48:00","2016-07-12","15:50:00","Tue","Tue",15,"15","Evening",62,"Supply Airport"
"44",2559,"City","5","Trip Completed","2016-07-12","21:32:00","2016-07-12","22:29:00","Tue","Tue",22,"22","Late-evening",57,"Supply Airport"
"45",3014,"City","5","Trip Completed","2016-07-13","07:28:14","2016-07-13","08:29:47","Wed","Wed",8,"08","Morning",61.55,"Supply Airport"
"46",3317,"City","5","Trip Completed","2016-07-13","12:14:27","2016-07-13","12:46:38","Wed","Wed",13,"12","Afternoon",32.1833333333333,"Supply Airport"
"47",4297,"City","5","Trip Completed","2016-07-14","06:43:01","2016-07-14","07:49:38","Thu","Thu",7,"07","Morning",66.6166666666667,"Supply Airport"
"48",5857,"Airport","5","Trip Completed","2016-07-15","09:08:50","2016-07-15","10:07:07","Fri","Fri",10,"10","Morning",58.2833333333333,"Supply City"
"49",6690,"Airport","5","Trip Completed","2016-07-15","22:41:41","2016-07-15","23:51:00","Fri","Fri",23,"23","Late-evening",69.3166666666667,"Supply City"
"50",1517,"Airport","6","Trip Completed","2016-07-12","05:45:00","2016-07-12","06:28:00","Tue","Tue",6,"06","Morning",43,"Supply City"
"51",1999,"Airport","6","Trip Completed","2016-07-12","13:02:00","2016-07-12","13:51:00","Tue","Tue",14,"13","Afternoon",49,"Supply City"
"52",2960,"Airport","6","Trip Completed","2016-07-13","06:50:33","2016-07-13","07:40:35","Wed","Wed",7,"07","Morning",50.0333333333333,"Supply City"
"53",3882,"City","6","Trip Completed","2016-07-13","21:53:03","2016-07-13","22:45:24","Wed","Wed",22,"22","Late-evening",52.35,"Supply Airport"
"54",4081,"Airport","6","Trip Completed","2016-07-14","02:37:14","2016-07-14","03:30:27","Thu","Thu",3,"03","Early Morning",53.2166666666667,"Supply City"
"55",4740,"City","6","Trip Completed","2016-07-14","14:50:07","2016-07-14","15:38:14","Thu","Thu",15,"15","Evening",48.1166666666667,"Supply Airport"
"56",5270,"City","6","Trip Completed","2016-07-14","21:33:55","2016-07-14","22:25:43","Thu","Thu",22,"22","Late-evening",51.8,"Supply Airport"
"57",6758,"Airport","6","Trip Completed","2016-07-15","00:03:39","2016-07-15","01:07:39","Fri","Fri",1,"01","Early Morning",64,"Supply City"
"58",5741,"City","6","Trip Completed","2016-07-15","07:52:51","2016-07-15","08:38:55","Fri","Fri",8,"08","Morning",46.0666666666667,"Supply Airport"
"59",6087,"Airport","6","Trip Completed","2016-07-15","14:28:50","2016-07-15","15:33:53","Fri","Fri",15,"15","Evening",65.05,"Supply City"
"60",1039,"City","7","Trip Completed","2016-07-11","19:31:00","2016-07-11","20:41:00","Mon","Mon",20,"20","Late-evening",70,"Supply Airport"
"61",1273,"Airport","7","Trip Completed","2016-07-11","22:07:00","2016-07-11","23:12:00","Mon","Mon",23,"23","Late-evening",65,"Supply City"
"62",2480,"City","7","Trip Completed","2016-07-12","20:39:00","2016-07-12","21:28:00","Tue","Tue",21,"21","Late-evening",49,"Supply Airport"
"63",4105,"City","7","Trip Completed","2016-07-14","03:39:38","2016-07-14","04:39:04","Thu","Thu",4,"04","Early Morning",59.4333333333333,"Supply Airport"
"64",4509,"City","7","Trip Completed","2016-07-14","09:11:13","2016-07-14","10:17:01","Thu","Thu",10,"10","Morning",65.8,"Supply Airport"
"65",4986,"Airport","7","Trip Completed","2016-07-14","18:52:32","2016-07-14","19:50:57","Thu","Thu",19,"19","Late-evening",58.4166666666667,"Supply City"
"66",5898,"City","7","Trip Completed","2016-07-15","09:50:28","2016-07-15","10:40:39","Fri","Fri",10,"10","Morning",50.1833333333333,"Supply Airport"
"67",6142,"Airport","7","Trip Completed","2016-07-15","15:50:15","2016-07-15","16:36:56","Fri","Fri",16,"16","Evening",46.6833333333333,"Supply City"
"68",380,"Airport","8","Trip Completed","2016-07-11","08:18:00","2016-07-11","09:18:00","Mon","Mon",9,"09","Morning",60,"Supply City"
"69",1050,"Airport","8","Trip Completed","2016-07-11","19:39:00","2016-07-11","20:30:00","Mon","Mon",20,"20","Late-evening",51,"Supply City"
"70",1769,"City","8","Trip Completed","2016-07-12","08:57:00","2016-07-12","09:24:00","Tue","Tue",9,"09","Morning",27,"Supply Airport"
"71",2520,"City","8","Trip Completed","2016-07-12","21:05:00","2016-07-12","22:20:00","Tue","Tue",22,"22","Late-evening",75,"Supply Airport"
"72",3265,"Airport","8","Trip Completed","2016-07-13","10:22:07","2016-07-13","11:07:02","Wed","Wed",11,"11","Morning",44.9166666666667,"Supply City"
"73",4648,"City","8","Trip Completed","2016-07-14","11:55:10","2016-07-14","12:59:34","Thu","Thu",12,"12","Afternoon",64.4,"Supply Airport"
"74",449,"Airport","9","Trip Completed","2016-07-11","09:08:00","2016-07-11","09:52:00","Mon","Mon",10,"09","Morning",44,"Supply City"
"75",846,"Airport","9","Trip Completed","2016-07-11","17:46:00","2016-07-11","18:52:00","Mon","Mon",18,"18","Late-evening",66,"Supply City"
"76",1346,"Airport","9","Trip Completed","2016-07-11","23:39:00","2016-07-12","00:23:00","Mon","Tue",24,"00","Late-evening",44,"Supply City"
"77",1474,"Airport","9","Trip Completed","2016-07-12","05:13:00","2016-07-12","05:56:00","Tue","Tue",6,"05","Morning",43,"Supply City"
"78",2240,"City","9","Trip Completed","2016-07-12","18:20:00","2016-07-12","18:54:00","Tue","Tue",19,"18","Late-evening",34,"Supply Airport"
"79",3072,"Airport","9","Trip Completed","2016-07-13","08:04:57","2016-07-13","08:36:37","Wed","Wed",9,"08","Morning",31.6666666666667,"Supply City"
"80",3459,"Airport","9","Trip Completed","2016-07-13","17:03:30","2016-07-13","17:31:49","Wed","Wed",18,"17","Late-evening",28.3166666666667,"Supply City"
"81",3774,"Airport","9","Trip Completed","2016-07-13","20:41:24","2016-07-13","21:27:29","Wed","Wed",21,"21","Late-evening",46.0833333333333,"Supply City"
"82",4023,"City","9","Trip Completed","2016-07-13","23:58:41","2016-07-14","00:58:39","Wed","Thu",24,"00","Late-evening",59.9666666666667,"Supply Airport"
"83",4117,"City","9","Trip Completed","2016-07-14","04:21:42","2016-07-14","05:07:07","Thu","Thu",5,"05","Early Morning",45.4166666666667,"Supply Airport"
"84",4880,"Airport","9","Trip Completed","2016-07-14","17:58:46","2016-07-14","19:02:42","Thu","Thu",18,"19","Late-evening",63.9333333333333,"Supply City"
"85",5568,"Airport","9","Trip Completed","2016-07-15","05:47:49","2016-07-15","06:25:49","Fri","Fri",6,"06","Morning",38,"Supply City"
"86",5994,"Airport","9","Trip Completed","2016-07-15","11:51:16","2016-07-15","12:32:12","Fri","Fri",12,"12","Afternoon",40.9333333333333,"Supply City"
"87",1809,"Airport","10","Trip Completed","2016-07-12","09:13:00","2016-07-12","10:01:00","Tue","Tue",10,"10","Morning",48,"Supply City"
"88",2064,"Airport","10","Trip Completed","2016-07-12","15:08:00","2016-07-12","16:14:00","Tue","Tue",16,"16","Evening",66,"Supply City"
"89",3210,"City","10","Trip Completed","2016-07-13","09:47:06","2016-07-13","10:52:37","Wed","Wed",10,"10","Morning",65.5166666666667,"Supply Airport"
"90",4350,"City","10","Trip Completed","2016-07-14","07:24:43","2016-07-14","08:22:09","Thu","Thu",8,"08","Morning",57.4333333333333,"Supply Airport"
"91",4713,"City","10","Trip Completed","2016-07-14","13:31:24","2016-07-14","14:10:56","Thu","Thu",14,"14","Afternoon",39.5333333333333,"Supply Airport"
"92",5629,"Airport","10","Trip Completed","2016-07-15","06:33:00","2016-07-15","07:19:53","Fri","Fri",7,"07","Morning",46.8833333333333,"Supply City"
"93",6157,"Airport","10","Trip Completed","2016-07-15","16:32:51","2016-07-15","17:44:44","Fri","Fri",17,"17","Evening",71.8833333333333,"Supply City"
"94",2030,"City","11","Trip Completed","2016-07-12","14:11:00","2016-07-12","15:02:00","Tue","Tue",15,"15","Evening",51,"Supply Airport"
"95",3226,"City","11","Trip Completed","2016-07-13","10:00:17","2016-07-13","11:02:52","Wed","Wed",11,"11","Morning",62.5833333333333,"Supply Airport"
"96",3353,"City","11","Trip Completed","2016-07-13","13:29:44","2016-07-13","14:09:00","Wed","Wed",14,"14","Afternoon",39.2666666666667,"Supply Airport"
"97",4293,"City","11","Trip Completed","2016-07-14","06:42:36","2016-07-14","07:12:41","Thu","Thu",7,"07","Morning",30.0833333333333,"Supply Airport"
"98",4936,"City","11","Trip Completed","2016-07-14","18:22:17","2016-07-14","19:14:36","Thu","Thu",19,"19","Late-evening",52.3166666666667,"Supply Airport"
"99",5661,"Airport","11","Trip Completed","2016-07-15","07:08:50","2016-07-15","07:59:00","Fri","Fri",8,"07","Morning",50.1666666666667,"Supply City"
"100",5778,"City","11","Trip Completed","2016-07-15","08:22:03","2016-07-15","09:13:04","Fri","Fri",9,"09","Morning",51.0166666666667,"Supply Airport"
"101",6425,"Airport","11","Trip Completed","2016-07-15","19:46:40","2016-07-15","20:26:51","Fri","Fri",20,"20","Late-evening",40.1833333333333,"Supply City"
"102",45,"Airport","12","Trip Completed","2016-07-11","03:17:00","2016-07-11","04:09:00","Mon","Mon",4,"04","Early Morning",52,"Supply City"
"103",264,"City","12","Trip Completed","2016-07-11","06:51:00","2016-07-11","07:40:00","Mon","Mon",7,"07","Morning",49,"Supply Airport"
"104",1183,"City","12","Trip Completed","2016-07-11","21:05:00","2016-07-11","21:38:00","Mon","Mon",22,"21","Late-evening",33,"Supply Airport"
"105",1536,"Airport","12","Trip Completed","2016-07-12","05:59:00","2016-07-12","06:59:00","Tue","Tue",6,"06","Morning",60,"Supply City"
"106",2437,"City","12","Trip Completed","2016-07-12","20:18:00","2016-07-12","21:26:00","Tue","Tue",21,"21","Late-evening",68,"Supply Airport"
"107",2641,"Airport","12","Trip Completed","2016-07-12","22:28:00","2016-07-12","23:05:00","Tue","Tue",23,"23","Late-evening",37,"Supply City"
"108",4077,"Airport","12","Trip Completed","2016-07-14","02:14:15","2016-07-14","03:13:09","Thu","Thu",3,"03","Early Morning",58.9,"Supply City"
"109",4610,"City","12","Trip Completed","2016-07-14","10:35:14","2016-07-14","11:39:01","Thu","Thu",11,"11","Morning",63.7833333333333,"Supply Airport"
"110",5066,"Airport","12","Trip Completed","2016-07-14","19:31:20","2016-07-14","20:14:03","Thu","Thu",20,"20","Late-evening",42.7166666666667,"Supply City"
"111",5666,"Airport","12","Trip Completed","2016-07-15","07:04:55","2016-07-15","08:12:37","Fri","Fri",8,"08","Morning",67.7,"Supply City"
"112",5923,"City","12","Trip Completed","2016-07-15","10:07:49","2016-07-15","10:50:50","Fri","Fri",11,"10","Morning",43.0166666666667,"Supply Airport"
"113",6367,"City","12","Trip Completed","2016-07-15","19:04:46","2016-07-15","19:46:04","Fri","Fri",20,"19","Late-evening",41.3,"Supply Airport"
"114",155,"City","13","Trip Completed","2016-07-11","05:32:00","2016-07-11","06:28:00","Mon","Mon",6,"06","Morning",56,"Supply Airport"
"115",310,"Airport","13","Trip Completed","2016-07-11","07:24:00","2016-07-11","08:28:00","Mon","Mon",8,"08","Morning",64,"Supply City"
"116",607,"City","13","Trip Completed","2016-07-11","11:51:00","2016-07-11","12:42:00","Mon","Mon",12,"12","Afternoon",51,"Supply Airport"
"117",1012,"City","13","Trip Completed","2016-07-11","19:15:00","2016-07-11","19:57:00","Mon","Mon",20,"19","Late-evening",42,"Supply Airport"
"118",1696,"Airport","13","Trip Completed","2016-07-12","08:01:00","2016-07-12","08:42:00","Tue","Tue",9,"08","Morning",41,"Supply City"
"119",3076,"City","13","Trip Completed","2016-07-13","08:09:04","2016-07-13","09:12:19","Wed","Wed",9,"09","Morning",63.25,"Supply Airport"
"120",4198,"Airport","13","Trip Completed","2016-07-14","05:32:14","2016-07-14","06:45:32","Thu","Thu",6,"06","Morning",73.3,"Supply City"
"121",4627,"City","13","Trip Completed","2016-07-14","11:13:19","2016-07-14","12:00:12","Thu","Thu",12,"12","Afternoon",46.8833333333333,"Supply Airport"
"122",5289,"City","13","Trip Completed","2016-07-14","21:43:24","2016-07-14","22:24:13","Thu","Thu",22,"22","Late-evening",40.8166666666667,"Supply Airport"
"123",5495,"Airport","13","Trip Completed","2016-07-15","05:00:13","2016-07-15","06:02:27","Fri","Fri",6,"06","Morning",62.2333333333333,"Supply City"
"124",6656,"Airport","13","Trip Completed","2016-07-15","22:08:42","2016-07-15","22:41:18","Fri","Fri",23,"22","Late-evening",32.6,"Supply City"
"125",139,"Airport","14","Trip Completed","2016-07-11","05:21:00","2016-07-11","06:09:00","Mon","Mon",6,"06","Morning",48,"Supply City"
"126",215,"City","14","Trip Completed","2016-07-11","06:15:00","2016-07-11","07:07:00","Mon","Mon",7,"07","Morning",52,"Supply Airport"
"127",1816,"City","14","Trip Completed","2016-07-12","09:24:00","2016-07-12","10:07:00","Tue","Tue",10,"10","Morning",43,"Supply Airport"
"128",2505,"Airport","14","Trip Completed","2016-07-12","21:03:00","2016-07-12","22:14:00","Tue","Tue",22,"22","Late-evening",71,"Supply City"
"129",3346,"City","14","Trip Completed","2016-07-13","13:01:42","2016-07-13","13:55:59","Wed","Wed",14,"13","Afternoon",54.2833333333333,"Supply Airport"
"130",5294,"City","14","Trip Completed","2016-07-14","21:45:50","2016-07-14","22:16:40","Thu","Thu",22,"22","Late-evening",30.8333333333333,"Supply Airport"
"131",6226,"Airport","14","Trip Completed","2016-07-15","17:34:25","2016-07-15","18:33:13","Fri","Fri",18,"18","Late-evening",58.8,"Supply City"
"132",6733,"Airport","14","Trip Completed","2016-07-15","23:32:44","2016-07-16","00:37:46","Fri","Sat",24,"00","Late-evening",65.0333333333333,"Supply City"
"133",1027,"Airport","15","Trip Completed","2016-07-11","19:18:00","2016-07-11","20:24:00","Mon","Mon",20,"20","Late-evening",66,"Supply City"
"134",2675,"Airport","15","Trip Completed","2016-07-12","23:43:00","2016-07-13","00:35:12","Tue","Wed",24,"00","Late-evening",52.2,"Supply City"
"135",3200,"City","15","Trip Completed","2016-07-13","09:39:44","2016-07-13","10:30:58","Wed","Wed",10,"10","Morning",51.2333333333333,"Supply Airport"
"136",3865,"City","15","Trip Completed","2016-07-13","21:52:05","2016-07-13","22:21:15","Wed","Wed",22,"22","Late-evening",29.1666666666667,"Supply Airport"
"137",4468,"City","15","Trip Completed","2016-07-14","08:42:46","2016-07-14","09:22:01","Thu","Thu",9,"09","Morning",39.25,"Supply Airport"
"138",5163,"Airport","15","Trip Completed","2016-07-14","20:34:30","2016-07-14","21:05:18","Thu","Thu",21,"21","Late-evening",30.8,"Supply City"
"139",6009,"City","15","Trip Completed","2016-07-15","12:22:35","2016-07-15","13:25:27","Fri","Fri",13,"13","Afternoon",62.8666666666667,"Supply Airport"
"140",6448,"Airport","15","Trip Completed","2016-07-15","20:02:54","2016-07-15","20:40:45","Fri","Fri",21,"20","Late-evening",37.85,"Supply City"
"141",591,"City","16","Trip Completed","2016-07-11","11:25:00","2016-07-11","12:31:00","Mon","Mon",12,"12","Afternoon",66,"Supply Airport"
"142",709,"City","16","Trip Completed","2016-07-11","14:16:00","2016-07-11","15:03:00","Mon","Mon",15,"15","Evening",47,"Supply Airport"
"143",1167,"Airport","16","Trip Completed","2016-07-11","20:50:00","2016-07-11","21:52:00","Mon","Mon",21,"21","Late-evening",62,"Supply City"
"144",2661,"Airport","16","Trip Completed","2016-07-12","23:23:00","2016-07-13","00:27:21","Tue","Wed",24,"00","Late-evening",64.35,"Supply City"
"145",2808,"City","16","Trip Completed","2016-07-13","05:05:16","2016-07-13","05:56:11","Wed","Wed",6,"05","Morning",50.9166666666667,"Supply Airport"
"146",3258,"Airport","16","Trip Completed","2016-07-13","10:12:51","2016-07-13","10:45:28","Wed","Wed",11,"10","Morning",32.6166666666667,"Supply City"
"147",3413,"Airport","16","Trip Completed","2016-07-13","15:32:01","2016-07-13","16:45:44","Wed","Wed",16,"16","Evening",73.7166666666667,"Supply City"
"148",3939,"Airport","16","Trip Completed","2016-07-13","22:26:26","2016-07-13","22:55:54","Wed","Wed",23,"22","Late-evening",29.4666666666667,"Supply City"
"149",4125,"City","16","Trip Completed","2016-07-14","04:37:11","2016-07-14","05:46:29","Thu","Thu",5,"05","Early Morning",69.3,"Supply Airport"
"150",4457,"City","16","Trip Completed","2016-07-14","08:36:24","2016-07-14","09:19:20","Thu","Thu",9,"09","Morning",42.9333333333333,"Supply Airport"
"151",4728,"City","16","Trip Completed","2016-07-14","14:04:13","2016-07-14","15:06:40","Thu","Thu",15,"15","Evening",62.45,"Supply Airport"
"152",5347,"Airport","16","Trip Completed","2016-07-14","22:51:47","2016-07-14","23:53:42","Thu","Thu",23,"23","Late-evening",61.9166666666667,"Supply City"
"153",6147,"City","16","Trip Completed","2016-07-15","16:11:02","2016-07-15","17:30:08","Fri","Fri",17,"17","Evening",79.1,"Supply Airport"
"154",6496,"Airport","16","Trip Completed","2016-07-15","20:33:00","2016-07-15","21:32:49","Fri","Fri",21,"21","Late-evening",59.8166666666667,"Supply City"
"155",634,"City","17","Trip Completed","2016-07-11","12:25:00","2016-07-11","13:06:00","Mon","Mon",13,"13","Afternoon",41,"Supply Airport"
"156",939,"Airport","17","Trip Completed","2016-07-11","18:25:00","2016-07-11","19:26:00","Mon","Mon",19,"19","Late-evening",61,"Supply City"
"157",2628,"Airport","17","Trip Completed","2016-07-12","22:10:00","2016-07-12","23:25:00","Tue","Tue",23,"23","Late-evening",75,"Supply City"
"158",3021,"City","17","Trip Completed","2016-07-13","07:33:20","2016-07-13","08:26:07","Wed","Wed",8,"08","Morning",52.7833333333333,"Supply Airport"
"159",4743,"City","17","Trip Completed","2016-07-14","14:54:16","2016-07-14","15:39:03","Thu","Thu",15,"15","Evening",44.7833333333333,"Supply Airport"
"160",4981,"City","17","Trip Completed","2016-07-14","18:47:42","2016-07-14","19:43:44","Thu","Thu",19,"19","Late-evening",56.0333333333333,"Supply Airport"
"161",5367,"Airport","17","Trip Completed","2016-07-14","23:35:34","2016-07-15","00:25:26","Thu","Fri",24,"00","Late-evening",49.8666666666667,"Supply City"
"162",5471,"Airport","17","Trip Completed","2016-07-15","04:48:57","2016-07-15","05:47:13","Fri","Fri",5,"05","Early Morning",58.2666666666667,"Supply City"
"163",5988,"Airport","17","Trip Completed","2016-07-15","11:48:32","2016-07-15","12:55:02","Fri","Fri",12,"12","Afternoon",66.5,"Supply City"
"164",6477,"Airport","17","Trip Completed","2016-07-15","20:21:26","2016-07-15","21:00:31","Fri","Fri",21,"21","Late-evening",39.0833333333333,"Supply City"
"165",499,"City","18","Trip Completed","2016-07-11","09:39:00","2016-07-11","10:16:00","Mon","Mon",10,"10","Morning",37,"Supply Airport"
"166",1147,"Airport","18","Trip Completed","2016-07-11","20:42:00","2016-07-11","21:18:00","Mon","Mon",21,"21","Late-evening",36,"Supply City"
"167",1410,"Airport","18","Trip Completed","2016-07-12","03:14:00","2016-07-12","04:27:00","Tue","Tue",4,"04","Early Morning",73,"Supply City"
"168",1804,"Airport","18","Trip Completed","2016-07-12","09:12:00","2016-07-12","09:57:00","Tue","Tue",10,"09","Morning",45,"Supply City"
"169",1949,"Airport","18","Trip Completed","2016-07-12","11:32:00","2016-07-12","12:13:00","Tue","Tue",12,"12","Afternoon",41,"Supply City"
"170",2713,"City","18","Trip Completed","2016-07-13","01:46:42","2016-07-13","02:37:08","Wed","Wed",2,"02","Early Morning",50.4333333333333,"Supply Airport"
"171",2845,"City","18","Trip Completed","2016-07-13","05:28:29","2016-07-13","06:10:40","Wed","Wed",6,"06","Morning",42.1833333333333,"Supply Airport"
"172",3943,"Airport","18","Trip Completed","2016-07-13","22:35:38","2016-07-13","23:33:20","Wed","Wed",23,"23","Late-evening",57.7,"Supply City"
"173",4792,"City","18","Trip Completed","2016-07-14","16:47:15","2016-07-14","17:34:39","Thu","Thu",17,"17","Evening",47.4,"Supply Airport"
"174",5207,"Airport","18","Trip Completed","2016-07-14","20:57:41","2016-07-14","21:56:21","Thu","Thu",21,"21","Late-evening",58.6666666666667,"Supply City"
"175",5890,"City","18","Trip Completed","2016-07-15","09:43:57","2016-07-15","10:55:22","Fri","Fri",10,"10","Morning",71.4166666666667,"Supply Airport"
"176",494,"City","19","Trip Completed","2016-07-11","09:36:00","2016-07-11","10:02:00","Mon","Mon",10,"10","Morning",26,"Supply Airport"
"177",1485,"City","19","Trip Completed","2016-07-12","05:21:00","2016-07-12","06:35:00","Tue","Tue",6,"06","Morning",74,"Supply Airport"
"178",2042,"City","19","Trip Completed","2016-07-12","14:30:00","2016-07-12","15:09:00","Tue","Tue",15,"15","Evening",39,"Supply Airport"
"179",2561,"Airport","19","Trip Completed","2016-07-12","21:29:00","2016-07-12","22:44:00","Tue","Tue",22,"22","Late-evening",75,"Supply City"
"180",3813,"Airport","19","Trip Completed","2016-07-13","21:06:57","2016-07-13","21:46:24","Wed","Wed",22,"21","Late-evening",39.45,"Supply City"
"181",4260,"Airport","19","Trip Completed","2016-07-14","06:11:51","2016-07-14","06:59:46","Thu","Thu",7,"06","Morning",47.9166666666667,"Supply City"
"182",4395,"City","19","Trip Completed","2016-07-14","08:00:15","2016-07-14","08:54:39","Thu","Thu",9,"08","Morning",54.4,"Supply Airport"
